Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (win64) Build 3064766 Wed Nov 18 09:12:45 MST 2020
| Date         : Wed Sep  8 17:00:54 2021
| Host         : DESKTOP-CQEKB9O running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file {F:\MRSA\Hardware\MRSA 64 PEs\ALVEO U280\utilization_report.txt}
| Design       : scrypt_64_romix_ip_v1_0
| Device       : xcu280fsvh2892-2L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------+------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                  Instance                  |               Module               | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                       q_round_4            |        q_round_for_salsa_20_8_1058 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             counter                        |                 up_counter_en_1046 |         16 |         16 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|             memory                         |                 bram1024_core_1047 |          0 |          0 |       0 |    0 |      0 |     28 |      1 |    0 |          0 |
|             mux_1                          |         mux21__parameterized0_1048 |       1024 |       1024 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         rm_10                              |                        romix_new_2 |       3866 |       3866 |       0 |    0 |   4657 |     28 |      1 |    0 |          0 |
|           (rm_10)                          |                        romix_new_2 |          4 |          4 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           controller                       |                  romix_new_ct_1027 |         41 |         41 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|           datapath                         |                  romix_new_dp_1028 |       3821 |       3821 |       0 |    0 |   4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                  romix_new_dp_1028 |          0 |          0 |       0 |    0 |    522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                 blockmix_dpct_1029 |       2781 |       2781 |       0 |    0 |   4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_1033 |          2 |          2 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_1034 |       2779 |       2779 |       0 |    0 |   4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_1034 |       1536 |       1536 |       0 |    0 |   3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                    salsa_20_8_1035 |       1243 |       1243 |       0 |    0 |    516 |      0 |      0 |    0 |          0 |
|                   controller               |                 salsa_20_8_ct_1036 |         11 |         11 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                 salsa_20_8_dp_1037 |       1232 |       1232 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                 salsa_20_8_dp_1037 |          0 |          0 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                   full_qround_1038 |       1232 |       1232 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |        q_round_for_salsa_20_8_1039 |        323 |        323 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |        q_round_for_salsa_20_8_1040 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |        q_round_for_salsa_20_8_1041 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |        q_round_for_salsa_20_8_1042 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             counter                        |                 up_counter_en_1030 |         16 |         16 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|             memory                         |                 bram1024_core_1031 |          0 |          0 |       0 |    0 |      0 |     28 |      1 |    0 |          0 |
|             mux_1                          |         mux21__parameterized0_1032 |       1024 |       1024 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         rm_11                              |                        romix_new_3 |       3866 |       3866 |       0 |    0 |   4657 |     28 |      1 |    0 |          0 |
|           (rm_11)                          |                        romix_new_3 |          4 |          4 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           controller                       |                  romix_new_ct_1011 |         41 |         41 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|           datapath                         |                  romix_new_dp_1012 |       3821 |       3821 |       0 |    0 |   4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                  romix_new_dp_1012 |          0 |          0 |       0 |    0 |    522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                 blockmix_dpct_1013 |       2781 |       2781 |       0 |    0 |   4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_1017 |          2 |          2 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_1018 |       2779 |       2779 |       0 |    0 |   4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_1018 |       1536 |       1536 |       0 |    0 |   3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                    salsa_20_8_1019 |       1243 |       1243 |       0 |    0 |    516 |      0 |      0 |    0 |          0 |
|                   controller               |                 salsa_20_8_ct_1020 |         11 |         11 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                 salsa_20_8_dp_1021 |       1232 |       1232 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                 salsa_20_8_dp_1021 |          0 |          0 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                   full_qround_1022 |       1232 |       1232 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |        q_round_for_salsa_20_8_1023 |        323 |        323 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |        q_round_for_salsa_20_8_1024 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |        q_round_for_salsa_20_8_1025 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |        q_round_for_salsa_20_8_1026 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             counter                        |                 up_counter_en_1014 |         16 |         16 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|             memory                         |                 bram1024_core_1015 |          0 |          0 |       0 |    0 |      0 |     28 |      1 |    0 |          0 |
|             mux_1                          |         mux21__parameterized0_1016 |       1024 |       1024 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         rm_12                              |                        romix_new_4 |       3866 |       3866 |       0 |    0 |   4657 |     28 |      1 |    0 |          0 |
|           (rm_12)                          |                        romix_new_4 |          4 |          4 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           controller                       |                   romix_new_ct_995 |         41 |         41 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|           datapath                         |                   romix_new_dp_996 |       3821 |       3821 |       0 |    0 |   4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                   romix_new_dp_996 |          0 |          0 |       0 |    0 |    522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                  blockmix_dpct_997 |       2781 |       2781 |       0 |    0 |   4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_1001 |          2 |          2 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_1002 |       2779 |       2779 |       0 |    0 |   4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_1002 |       1536 |       1536 |       0 |    0 |   3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                    salsa_20_8_1003 |       1243 |       1243 |       0 |    0 |    516 |      0 |      0 |    0 |          0 |
|                   controller               |                 salsa_20_8_ct_1004 |         11 |         11 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                 salsa_20_8_dp_1005 |       1232 |       1232 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                 salsa_20_8_dp_1005 |          0 |          0 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                   full_qround_1006 |       1232 |       1232 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |        q_round_for_salsa_20_8_1007 |        323 |        323 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |        q_round_for_salsa_20_8_1008 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |        q_round_for_salsa_20_8_1009 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |        q_round_for_salsa_20_8_1010 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             counter                        |                  up_counter_en_998 |         16 |         16 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|             memory                         |                  bram1024_core_999 |          0 |          0 |       0 |    0 |      0 |     28 |      1 |    0 |          0 |
|             mux_1                          |         mux21__parameterized0_1000 |       1024 |       1024 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         rm_13                              |                        romix_new_5 |       3866 |       3866 |       0 |    0 |   4657 |     28 |      1 |    0 |          0 |
|           (rm_13)                          |                        romix_new_5 |          4 |          4 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           controller                       |                   romix_new_ct_979 |         41 |         41 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|           datapath                         |                   romix_new_dp_980 |       3821 |       3821 |       0 |    0 |   4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                   romix_new_dp_980 |          0 |          0 |       0 |    0 |    522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                  blockmix_dpct_981 |       2781 |       2781 |       0 |    0 |   4115 |      0 |      0 |    0 |          0 |
|               controller                   |                    blockmix_ct_985 |          2 |          2 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|               datapath                     |                    blockmix_dp_986 |       2779 |       2779 |       0 |    0 |   4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                    blockmix_dp_986 |       1536 |       1536 |       0 |    0 |   3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                     salsa_20_8_987 |       1243 |       1243 |       0 |    0 |    516 |      0 |      0 |    0 |          0 |
|                   controller               |                  salsa_20_8_ct_988 |         11 |         11 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                  salsa_20_8_dp_989 |       1232 |       1232 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                  salsa_20_8_dp_989 |          0 |          0 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                    full_qround_990 |       1232 |       1232 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |         q_round_for_salsa_20_8_991 |        323 |        323 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |         q_round_for_salsa_20_8_992 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |         q_round_for_salsa_20_8_993 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |         q_round_for_salsa_20_8_994 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             counter                        |                  up_counter_en_982 |         16 |         16 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|             memory                         |                  bram1024_core_983 |          0 |          0 |       0 |    0 |      0 |     28 |      1 |    0 |          0 |
|             mux_1                          |          mux21__parameterized0_984 |       1024 |       1024 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         rm_14                              |                        romix_new_6 |       3867 |       3867 |       0 |    0 |   4657 |     28 |      1 |    0 |          0 |
|           (rm_14)                          |                        romix_new_6 |          4 |          4 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           controller                       |                   romix_new_ct_963 |         42 |         42 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|           datapath                         |                   romix_new_dp_964 |       3821 |       3821 |       0 |    0 |   4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                   romix_new_dp_964 |          0 |          0 |       0 |    0 |    522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                  blockmix_dpct_965 |       2781 |       2781 |       0 |    0 |   4115 |      0 |      0 |    0 |          0 |
|               controller                   |                    blockmix_ct_969 |          2 |          2 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|               datapath                     |                    blockmix_dp_970 |       2779 |       2779 |       0 |    0 |   4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                    blockmix_dp_970 |       1536 |       1536 |       0 |    0 |   3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                     salsa_20_8_971 |       1243 |       1243 |       0 |    0 |    516 |      0 |      0 |    0 |          0 |
|                   controller               |                  salsa_20_8_ct_972 |         11 |         11 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                  salsa_20_8_dp_973 |       1232 |       1232 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                  salsa_20_8_dp_973 |          0 |          0 |       0 |    0 |    512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                    full_qround_974 |       1232 |       1232 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |         q_round_for_salsa_20_8_975 |        323 |        323 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |         q_round_for_salsa_20_8_976 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |         q_round_for_salsa_20_8_977 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |         q_round_for_salsa_20_8_978 |        303 |        303 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|             counter                        |                  up_counter_en_966 |         16 |         16 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
